"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"","
"Belgium,""BEL"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Benin,""BEN"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.2"",""3.2"",""3.3"",""3.3"",""3.3"",""3.4"",""3.4"",""3.4"",""3.4"",""3.4"",""3.4"",""3.4"",""3.4"",""3.5"",""3.5"","""","
"Burkina Faso,""BFA"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.6"",""3.6"",""3.6"",""3.6"",""3.6"",""3.6"",""3.7"",""3.7"",""3.7"",""3.6"",""3.6"",""3.7"",""3.7"",""3.7"",""3.6"","""","
"Bangladesh,""BGD"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.6"",""3.6"",""3.6"",""3.6"",""3.6"",""3.6"",""3.4"",""3.4"",""3.5"",""3.6"",""3.5"",""3.5"",""3.4"",""3.4"",""3.3"","""","
"Bulgaria,""BGR"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bahrain,""BHR"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bahamas, The,""BHS"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bosnia and Herzegovina,""BIH"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.4"",""3.6"",""3.6"",""3.6"",""3.7"",""3.7"",""3.6"",""3.6"",""3.6"","""","""","""","""","""","""","""","
"Belarus,""BLR"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Belize,""BLZ"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bermuda,""BMU"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bolivia,""BOL"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.8"",""3.8"",""3.8"",""3.7"",""3.8"",""3.7"",""3.7"",""3.7"","""","""","""","""","""","
"Brazil,""BRA"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Barbados,""BRB"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Brunei Darussalam,""BRN"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bhutan,""BTN"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4.2"",""4.1"",""4.1"",""4"",""4"",""4.1"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""4"","""","
"Botswana,""BWA"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Central African Republic,""CAF"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2.2"",""2.2"",""2.2"",""2.2"",""2.5"",""2.5"",""2.6"",""2.6"",""2.3"",""2.2"",""2.3"",""2.3"",""2.3"",""2.4"",""2.3"","""","
"Canada,""CAN"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Central Europe and the Baltics,""CEB"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Switzerland,""CHE"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Channel Islands,""CHI"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Chile,""CHL"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"China,""CHN"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Cote d'Ivoire,""CIV"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2.3"",""2.3"",""2.3"",""2.3"",""2.4"",""2.4"",""2.6"",""2.8"",""2.9"",""2.9"",""3"",""3.2"",""3.3"",""3.4"",""3.5"","""","
"Cameroon,""CMR"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.4"",""3.2"",""3.1"",""3.1"",""3.1"",""3.1"",""3"",""3"",""3"",""3"",""3"",""3.1"",""3.1"",""3.2"",""3.2"","""","
"Congo, Dem. Rep.,""COD"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2.9"",""2.9"",""2.9"",""2.9"",""2.8"",""2.8"",""2.8"",""2.8"",""2.8"",""2.9"",""3"",""3"",""3"",""3.1"",""3.1"","""","
"Congo, Rep.,""COG"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2.9"",""2.7"",""2.7"",""2.7"",""2.7"",""2.8"",""2.9"",""3"",""3"",""3"",""3"",""2.9"",""2.8"",""2.8"",""2.8"","""","
"Colombia,""COL"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Comoros,""COM"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2.7"",""2.7"",""2.7"",""2.5"",""2.6"",""2.6"",""2.7"",""2.8"",""2.8"",""2.8"",""2.9"",""2.9"",""2.8"",""2.8"",""2.7"","""","
"Cabo Verde,""CPV"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4.3"",""4.3"",""4.3"",""4.3"",""4.3"",""4.3"",""4.2"",""4"",""4"",""4"",""3.8"",""3.8"",""3.9"",""3.9"",""3.9"","""","
"Costa Rica,""CRI"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Caribbean small states,""CSS"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.7"",""3.74"",""3.7"",""3.72"",""3.68"",""3.64"",""3.64"",""3.6"",""3.6"",""3.56"",""3.54"",""3.5"",""3.52"",""3.56"",""3.6"","""","
"Cuba,""CUB"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Curacao,""CUW"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Cayman Islands,""CYM"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Cyprus,""CYP"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Czech Republic,""CZE"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Germany,""DEU"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Djibouti,""DJI"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.1"",""3.1"",""3"",""3"",""3.2"",""3.3"",""3.1"",""3.1"",""3"",""3"",""3"",""3"",""3"",""3.1"",""3.2"","""","
"Dominica,""DMA"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.7"",""3.7"",""3.6"",""3.6"",""3.6"",""3.5"",""3.7"",""3.6"",""3.6"",""3.5"",""3.4"",""3.4"",""3.4"",""3.4"",""3.4"","""","
"Denmark,""DNK"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Dominican Republic,""DOM"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Algeria,""DZA"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"East Asia & Pacific (excluding high income),""EAP"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.14"",""3.09090909090909"",""3.15454545454545"",""3.18181818181818"",""3.21818181818182"",""3.26363636363636"",""3.17692307692308"",""3.17857142857143"",""3.13333333333333"",""3.15333333333333"",""3.14666666666667"",""3.07857142857143"",""3.05"",""3.06428571428571"",""3.07142857142857"","""","
"Early-demographic dividend,""EAR"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.33571428571429"",""3.35"",""3.36428571428571"",""3.38275862068966"",""3.39310344827586"",""3.44137931034483"",""3.41666666666667"",""3.43666666666667"",""3.40645161290323"",""3.41666666666667"",""3.39666666666667"",""3.37241379310345"",""3.35172413793103"",""3.35862068965517"",""3.36896551724138"","""","
"East Asia & Pacific,""EAS"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.14"",""3.09090909090909"",""3.15454545454545"",""3.18181818181818"",""3.21818181818182"",""3.26363636363636"",""3.17692307692308"",""3.17857142857143"",""3.13333333333333"",""3.15333333333333"",""3.14666666666667"",""3.07857142857143"",""3.05"",""3.06428571428571"",""3.07142857142857"","""","
